"name","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","cnt_score","essentialNode"
"TRIB3",2.48068669527897,0.00250088623026842,0.403114186851211,0.555555555555556,9,5,FALSE,27.8888888888889,0,9,0,0.983174014826375,FALSE,0,"TRIB3",1224,0.214529914529915,102.4,"Yes"
"TRIM29",2.82403433476395,0.00207204525113506,0.354103343465046,0.166666666666667,4,6,FALSE,36.25,0,4,0,0.979272337104955,FALSE,0,"TRIM29",1002,0.397222222222222,90.6833333333333,"No"
"TRIP13",2.35622317596567,0.000226251034934851,0.424408014571949,0.918330308529946,58,6,FALSE,60.2413793103448,0,58,0,0.98458837300039,FALSE,0,"TRIP13",532,0.474341569372794,125.066666666667,"Yes"
"TROAP",2.49356223175966,0.000163508753833457,0.401032702237522,0.943089430894309,42,6,FALSE,60.3809523809524,0,42,0,0.983027701911822,FALSE,0,"TROAP",362,0.529657477025898,114.65,"Yes"
"TTF2",2.74678111587983,0.0070441890192533,0.3640625,0.571428571428571,7,6,FALSE,27.5714285714286,0,7,0,0.980150214592275,FALSE,0,"TTF2",2016,0.249350649350649,95,"No"
"TTK",2.33047210300429,0.000601144941631729,0.429097605893186,0.889830508474576,60,6,FALSE,59.4,0,60,0,0.984880998829497,FALSE,0,"TTK",1364,0.453435114503817,126.733333333333,"Yes"
"TYMS",1.92703862660944,0.0672966907977321,0.518930957683742,0.537487828627069,79,5,FALSE,48.9367088607595,0,79,0,0.989465470152165,FALSE,0,"TYMS",29734,0.271870604781997,146.45,"Yes"
"UBE2C",2.04721030042918,0.0494375739321597,0.488469601677149,0.761057692307692,65,5,FALSE,56.2153846153846,0,65,0,0.988099882949668,FALSE,0,"UBE2C",19028,0.338646895273401,137.15,"Yes"
"UBE2T",2.37339055793991,0.00147602696505495,0.421338155515371,0.888311688311688,56,6,FALSE,59.3928571428571,0,56,0,0.984393289114319,FALSE,0,"UBE2T",1282,0.475142857142857,123.733333333333,"Yes"
"UHRF1",2.17596566523605,0.00134725109011185,0.45956607495069,0.907070707070707,55,5,FALSE,60.9818181818182,0,55,0,0.986636753804136,FALSE,0,"UHRF1",3222,0.403853100541842,129.233333333333,"Yes"
"VSNL1",3.21888412017167,0,0.310666666666667,0,1,7,FALSE,67,0,1,0,0.974785407725322,FALSE,0,"VSNL1",0,0,80.5261904761905,"No"
"WDR12",2.70386266094421,0.00265134817188324,0.36984126984127,0.536842105263158,20,6,FALSE,20.25,0,20,0,0.980637924307452,FALSE,0,"WDR12",1754,0.182432432432432,101.316666666667,"Yes"
"WDR4",3.11587982832618,1.81620007644279e-05,0.320936639118457,0.933333333333333,10,6,FALSE,18.8,0,10,0,0.975955911041748,FALSE,0,"WDR4",22,0.417777777777778,83.7666666666667,"No"
"ZIC2",3.62231759656652,0.017093384638153,0.2760663507109,0,2,7,FALSE,5,0,2,0,0.970200936402653,FALSE,0,"ZIC2",6464,0.5,68.1928571428571,"No"
