"","node1","node2","score"
"713","CCNB1","CDKN3",0.941
"714","CCNB1","HMMR",0.942
"715","CCNB1","TPX2",0.949
"716","CCNB1","CENPA",0.953
"717","CCNB1","KIF20A",0.954
"718","CCNB1","PBK",0.962
"719","CCNB1","KIF2C",0.966
"720","CCNB1","KIF11",0.966
"721","CCNB1","MELK",0.972
"722","CCNB1","PTTG1",0.984
"723","CCNB1","CDCA8",0.987
"724","CCNB1","CENPF",0.988
"725","CCNB1","MAD2L1",0.988
"726","CCNB1","TOP2A",0.989
"727","CCNB1","UBE2C",0.99
"728","CCNB1","CDC25A",0.995
"729","CCNB1","CCNB2",0.998
"730","CCNB1","CKS1B",0.998
"731","CCNB1","CKS2",0.999
"732","CCNB1","CDC20",0.999
"733","CCNB2","TRIP13",0.741
"734","CCNB2","RNASEH2A",0.44
"735","CCNB2","RAD51AP1",0.734
"736","CCNB2","CDC25B",0.847
"737","CCNB2","CDK4",0.782
"738","CCNB2","TROAP",0.674
"739","CCNB2","KIF11",0.944
"740","CCNB2","MCM4",0.866
"741","CCNB2","MCM2",0.873
"742","CCNB2","CDCA5",0.969
"743","CCNB2","TIMELESS",0.413
"744","CCNB2","TFDP1",0.417
"745","CCNB2","IQGAP3",0.42
"746","CCNB2","MYC",0.438
"747","CCNB2","STIL",0.464
"748","CCNB2","HMGB2",0.469
"749","CCNB2","UHRF1",0.522
"750","CCNB2","RCC2",0.548
"751","CCNB2","DTL",0.562
"752","CCNB2","CDCA7",0.609
"753","CCNB2","RAD54L",0.613
"754","CCNB2","UBE2T",0.662
"755","CCNB2","MCM3",0.668
"756","CCNB2","TACC3",0.67
"757","CCNB2","EXO1",0.744
"758","CCNB2","MCM7",0.752
"759","CCNB2","RFC4",0.785
"760","CCNB2","CDT1",0.822
"761","CCNB2","KIF15",0.828
"762","CCNB2","CHEK1",0.833
"763","CCNB2","KIF4A",0.864
"764","CCNB2","TYMS",0.868
"765","CCNB2","TK1",0.88
"766","CCNB2","PBK",0.88
"767","CCNB2","PCLAF",0.882
"768","CCNB2","HMMR",0.888
"769","CCNB2","CDKN3",0.893
"770","CCNB2","CEP55",0.907
"771","CCNB2","CDCA3",0.913
"772","CCNB2","PRC1",0.925
"773","CCNB2","KIF20A",0.938
"774","CCNB2","CKS1B",0.952
"775","CCNB2","TPX2",0.953
"776","CCNB2","TTK",0.96
